Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_150,EMA_150,SMA_200,EMA_200,RSI,MACD
2010-03-26,5260.5498046875,5293.75,5260.5498046875,5282.0,5282.0,0,5135.437475585937,5147.143688568972,5027.6,5091.848298824405,,5114.652493630973,,5138.652091741117,,5155.469949686525,76.1428473315512,77.12416362470049
2010-03-29,5283.89990234375,5329.5498046875,5242.14990234375,5302.85009765625,5302.85009765625,0,5157.59248046875,5161.972870386808,5029.44900390625,5100.122879170753,,5118.379178859197,,5140.826899766484,,5156.936418820553,75.17246213667495,79.70946192150404
2010-03-30,5302.9501953125,5325.0,5251.35009765625,5262.4501953125,5262.4501953125,0,5174.6,5171.54213942735,5030.01900390625,5106.48865627435,,5121.2320702741135,,5142.4378043432525,,5157.986307143856,71.56645424686931,77.60382636113445
2010-03-31,5260.39990234375,5293.89990234375,5235.14990234375,5249.10009765625,5249.10009765625,0,5186.205004882812,5178.928611639626,5029.8030078125,5112.081261818738,,5123.764110420294,,5143.850549950047,,5158.892912024577,67.86822759255685,74.00477274597506
2010-04-01,5249.2001953125,5298.60009765625,5249.2001953125,5290.5,5290.5,0,5196.325,5189.554458150138,5030.56900390625,5119.078075080748,,5127.06581120405,,5145.792926771901,,5160.202435288014,69.83589537451589,73.64419847381578
2010-04-05,5291.39990234375,5377.5498046875,5291.39990234375,5368.39990234375,5368.39990234375,0,5210.732495117188,5206.587357597149,5032.44,5128.855401640081,,5131.844704097906,,5148.741363534442,,5162.274051875634,74.60134368384496,78.7366843623804
2010-04-06,5369.64990234375,5388.64990234375,5351.7001953125,5366.0,5366.0,0,5224.597485351563,5221.769514016469,5035.247001953125,5138.155189811058,,5136.481442630621,,5151.618961368424,,5164.301175737568,75.51663217722772,81.63779438027268
2010-04-07,5365.7001953125,5399.64990234375,5345.0498046875,5374.64990234375,5374.64990234375,0,5237.12998046875,5236.329551000019,5038.30599609375,5147.429492263321,,5141.197649753653,,5154.573013566773,,5166.394197892853,71.84758281651061,83.67041928917388
2010-04-08,5376.2998046875,5383.64990234375,5290.25,5304.4501953125,5304.4501953125,0,5247.277490234375,5242.817231410731,5042.512001953125,5153.5871668927,,5144.430373428086,,5156.558141801816,,5167.767889409467,58.23595210406645,78.70944600118582
2010-04-09,5302.39990234375,5377.4501953125,5302.25,5361.75,5361.75,0,5259.552490234375,5254.144161752566,5049.027001953125,5161.7504152498495,,5148.733732370103,,5159.275914758083,,5169.6980596641,61.97420655949176,78.49659441442873
2010-04-12,5354.14990234375,5382.14990234375,5324.89990234375,5339.7001953125,5339.7001953125,0,5269.867504882813,5262.292355424941,5055.6630078125,5168.728837997404,,5152.515246487774,,5161.6656403283405,,5171.389623202889,57.86465907093434,75.67632348774623
2010-04-13,5340.85009765625,5356.5,5301.7001953125,5322.9501953125,5322.9501953125,0,5279.165014648437,5268.069292557089,5065.060009765625,5174.776734362703,,5155.890195969451,,5163.801859599655,,5172.897688597015,63.14030889141721,71.26811893279319
2010-04-15,5323.2998046875,5373.14990234375,5265.2998046875,5273.60009765625,5273.60009765625,0,5286.400024414063,5268.596035899867,5073.18701171875,5178.652160374215,,5158.221085111764,,5165.2561408984175,,5173.899702617505,55.05974881049689,63.0654651928553
2010-04-16,5273.39990234375,5283.0498046875,5237.5498046875,5262.60009765625,5262.60009765625,0,5289.625024414063,5268.02499416238,5080.798017578125,5181.94423634606,,5160.287996251259,,5166.545464828985,,5174.782293612915,50.242740413208175,55.04269698985081
2010-04-19,5279.0498046875,5279.0498046875,5160.89990234375,5203.64990234375,5203.64990234375,0,5288.212524414063,5261.894033036796,5086.87701171875,5182.795438934205,,5161.146647857051,,5167.036914332492,,5175.069533500784,42.01404476208014,43.42720550114609
2010-04-20,5208.2998046875,5257.25,5208.2998046875,5230.10009765625,5230.10009765625,0,5287.422534179687,5258.86603919103,5094.87701171875,5184.650523589971,,5162.51206270456,,5167.8721882838,,5175.617101303325,42.66853915997614,35.94183936824447
2010-04-21,5230.2998046875,5266.2998046875,5230.2998046875,5244.89990234375,5244.89990234375,0,5286.5275390625,5257.535930919861,5101.1380078125,5187.013244325413,,5164.143505073653,,5168.892422907111,,5176.306482408205,48.13512714216783,30.848253861774538
2010-04-22,5248.60009765625,5331.7998046875,5221.10009765625,5269.35009765625,5269.35009765625,0,5289.735034179687,5258.66108965666,5109.6180078125,5190.242140534466,,5166.2268039366745,,5170.222988135577,,5177.232289525101,52.10215142059452,28.456448844748593
2010-04-23,5269.64990234375,5311.0498046875,5269.64990234375,5304.10009765625,5304.10009765625,0,5293.675048828125,5262.988614228049,5121.32701171875,5194.70715846081,,5168.956968168745,,5171.996194884196,,5178.494655775162,51.431590698592416,29.030317291866595
2010-04-26,5299.35009765625,5342.35009765625,5299.35009765625,5322.4501953125,5322.4501953125,0,5296.777563476562,5268.651621950378,5132.568017578125,5199.71668931774,,5171.996438013176,,5173.9889631017895,,5179.927049203394,44.46988332720215,30.612924950456545
2010-04-27,5322.10009765625,5330.5498046875,5301.39990234375,5308.35009765625,5308.35009765625,0,5298.095068359375,5272.432429160461,5142.882021484375,5203.976822978074,,5174.696510481356,,5175.768580778008,,5181.204890481532,43.251794975554496,30.379200369076898
2010-04-28,5308.2001953125,5308.25,5202.4501953125,5215.4501953125,5215.4501953125,0,5293.725073242187,5267.00554974637,5152.047021484375,5204.426759148052,,5175.503514141379,,5176.294165076479,,5181.545639783333,34.43491030193432,22.439062685370118
2010-04-29,5215.25,5264.75,5214.7998046875,5254.14990234375,5254.14990234375,0,5293.31005859375,5265.781202374692,5160.593017578125,5206.376686332197,,5177.060868363208,,5177.325366894589,,5182.268070256572,44.75929326896173,19.049597395096498
2010-04-30,5254.2001953125,5294.7998046875,5254.2001953125,5278.0,5278.0,0,5294.755053710937,5266.9448973866265,5170.114013671875,5209.185443730935,,5179.059663049085,,5178.658805743668,,5183.220626771433,40.620454321743786,18.079515885038745
2010-05-03,5278.39990234375,5278.7001953125,5210.0498046875,5222.75,5222.75,0,5291.3675537109375,5262.735859540281,5177.454013671875,5209.717387114035,,5179.924818236232,,5179.242795071566,,5183.613953868235,37.80880849902884,12.706038737443123
2010-05-04,5223.89990234375,5250.14990234375,5134.85009765625,5148.5,5148.5,0,5280.37255859375,5251.856253869778,5182.144013671875,5207.316705266426,,5179.302544607791,,5178.835605732871,,5183.264561292432,33.761512757207626,2.4281744339132274
2010-05-05,5148.35009765625,5148.35009765625,5056.5,5124.89990234375,5124.89990234375,0,5268.317553710937,5239.765172772061,5186.88701171875,5204.084673779263,,5178.225264562959,,5178.121225555532,,5182.68381841732,35.46147030404411,-7.534583730135637
2010-05-06,5124.39990234375,5124.89990234375,5037.75,5090.85009765625,5090.85009765625,0,5254.1275634765625,5225.582784665794,5191.806015625,5199.644102166595,,5176.495063238073,,5176.965316576734,,5181.770050051539,33.93208558006275,-17.970523021996087
2010-05-07,5072.2998046875,5085.64990234375,4984.60009765625,5018.0498046875,5018.0498046875,0,5239.807543945312,5205.817738953575,5195.039013671875,5192.522757167415,,5173.357533365785,,5174.860475359658,,5180.140992883738,33.0749591021258,-31.749467227974492
2010-05-10,5026.60009765625,5203.2998046875,5026.60009765625,5193.60009765625,5193.60009765625,0,5231.400048828125,5204.654154068116,5201.51001953125,5192.565005814036,,5173.7583762230215,,5175.108682277494,,5180.274914324261,47.38313883311069,-28.17910707016108
2010-05-11,5189.75,5206.7001953125,5126.5,5136.14990234375,5136.14990234375,0,5221.222534179688,5198.129939618176,5207.061015625,5190.352648815202,,5173.013653967986,,5174.592671947246,,5179.835859478684,42.65253123465979,-29.643608486316225
2010-05-12,5133.75,5172.85009765625,5098.7998046875,5156.64990234375,5156.64990234375,0,5212.90751953125,5194.179459877754,5212.999013671875,5189.030972482988,,5172.689619282358,,5174.3550193697165,,5179.605153437541,42.344782936902256,-28.817863345282603
2010-05-13,5157.5498046875,5212.7001953125,5147.9501953125,5178.89990234375,5178.89990234375,0,5208.172509765625,5192.724263922135,5218.131015625,5188.633675614782,,5172.812595184563,,5174.4152164952,,5179.598136013722,41.34880500751046,-26.06757454994022
2010-05-14,5180.5498046875,5192.75,5070.9501953125,5093.5,5093.5,0,5199.717504882812,5183.274334024789,5219.661015625,5184.902943237732,,5171.242048745265,,5173.34349177341,,5178.741438142939,35.52140123958469,-30.428251326879945
2010-05-17,5093.89990234375,5094.5498046875,4966.25,5059.89990234375,5059.89990234375,0,5192.530004882812,5171.524388150405,5219.09701171875,5180.000863202674,,5169.037253767017,,5171.840927675004,,5177.558935299167,34.66641513800727,-36.17832495288076
2010-05-18,5059.5498046875,5105.2001953125,5024.25,5066.2001953125,5066.2001953125,0,5184.335009765625,5161.493512642033,5218.816015625,5175.538091912863,,5167.000876371878,,5170.441712676826,,5176.45088813512,39.68628022609851,-39.76849231531196
2010-05-19,5065.10009765625,5065.10009765625,4908.14990234375,4919.64990234375,4919.64990234375,0,5168.072509765625,5138.460787851721,5215.435009765625,5165.503260949368,,5162.102837282212,,5167.1199668446,,5173.895654445654,29.88336240463731,-53.81872097209998
2010-05-20,4924.2998046875,4980.25,4924.2998046875,4947.60009765625,4947.60009765625,0,5151.985009765625,5120.283579261676,5211.90701171875,5156.958038859442,,5157.855258279717,,5164.212418908331,,5171.643957363172,30.227449247767662,-61.98377090935901
2010-05-21,4946.7001953125,4946.7001953125,4842.2998046875,4931.14990234375,4931.14990234375,0,5133.3375,5102.270848126636,5208.500009765625,5148.102817819612,,5153.366043310689,,5161.125498159131,,5169.250981691338,31.699542486263866,-68.9867883391571
2010-05-24,4944.2998046875,5029.5498046875,4923.4501953125,4943.9501953125,4943.9501953125,0,5114.4125,5087.192690715767,5205.054013671875,5140.096832623255,,5149.219194835477,,5158.249004081692,,5167.0091828218965,36.0898156191144,-72.66620268876613
2010-05-25,4945.2998046875,4946.60009765625,4786.4501953125,4806.75,4806.75,0,5089.332495117187,5060.483863028551,5198.521015625,5127.0244078145,,5142.437626620913,,5153.59338813359,,5163.424514336107,31.2599909459524,-85.6655747803261
2010-05-26,4807.2998046875,4925.4501953125,4807.2998046875,4917.39990234375,4917.39990234375,0,5074.42998046875,5046.856819153809,5194.129013671875,5118.80383897251,,5137.981434060969,,5150.464997593328,,5160.97650824663,40.62889444876501,-86.04724931147393
2010-05-27,4915.14990234375,5016.60009765625,4897.60009765625,5003.10009765625,5003.10009765625,0,5061.877490234375,5042.689512344517,5191.613017578125,5114.266437352264,,5135.310516508401,,5148.513144614029,,5159.405598688518,49.20340627918896,-78.5292038130965
2010-05-28,5005.60009765625,5077.25,5005.60009765625,5066.5498046875,5066.5498046875,0,5051.30498046875,5044.961921139087,5188.98201171875,5112.395196855607,,5133.948918254521,,5147.427537462685,,5158.481660439752,42.31164491836779,-66.6825624336625
2010-05-31,5076.10009765625,5097.60009765625,5038.5498046875,5086.2998046875,5086.2998046875,0,5044.482470703125,5048.8988624294125,5186.070009765625,5111.371848143132,5107.5105078125,5133.005371451214,,5146.617898617981,,5157.763433019332,46.839134018141706,-55.0655919804467
2010-06-01,5086.25,5086.9501953125,4961.0498046875,4970.2001953125,4970.2001953125,0,5035.56748046875,5041.403751275421,5180.556015625,5105.835704894872,5104.8905078125,5129.78150657718,,5144.281240296054,,5155.897132146628,39.45600171421535,-54.597956139831695
2010-06-02,4970.75,5031.2001953125,4967.0498046875,5019.85009765625,5019.85009765625,0,5030.314990234375,5039.351022359309,5175.697021484375,5102.463720297279,5102.310009765625,5127.604646994588,,5142.633145691554,,5154.543430310903,41.27586701920234,-49.648699882413894
2010-06-03,5020.14990234375,5125.7001953125,5020.14990234375,5110.5,5110.5,0,5031.2974853515625,5046.127115467946,5173.803017578125,5102.778868520915,5100.59701171875,5127.265941113506,,5142.207541112858,,5154.105187223233,50.92713708079642,-37.97394906775662
2010-06-04,5112.60009765625,5147.89990234375,5091.60009765625,5135.5,5135.5,0,5037.169995117188,5054.638818756714,5172.007021484375,5104.062050147546,5099.321010742187,5127.428991784526,,5142.118699508715,,5153.9200609822055,54.16208108086312,-26.400010975729856
2010-06-07,5132.9501953125,5132.9501953125,5004.25,5034.0,5034.0,0,5029.189990234375,5052.67321697036,5167.4790234375,5101.314518769211,5097.213510742187,5125.578912739288,,5140.686663753633,,5152.726826544573,48.39544634358558,-25.128122032109786
2010-06-08,5036.7001953125,5071.35009765625,4967.2998046875,4987.10009765625,4987.10009765625,0,5021.7375,5046.428157988064,5161.581025390625,5096.83552186282,5094.590512695312,5122.836757985169,,5138.652404600026,,5151.078799391456,53.7316843879668,-27.58657023154319
2010-06-09,4985.0498046875,5050.60009765625,4980.10009765625,5000.2998046875,5000.2998046875,0,5013.919995117188,5042.034981483248,5155.53001953125,5093.049807463789,5092.48951171875,5120.410283662443,,5136.819919832973,,5149.578510886939,52.96398964996971,-28.14535990972763
2010-06-10,4999.60009765625,5085.2001953125,4997.60009765625,5078.60009765625,5078.60009765625,0,5008.905004882812,5045.517373499724,5151.853017578125,5092.4831521772185,5090.936010742187,5119.582359187073,,5136.048796360435,,5148.872258018972,57.75360234987213,-22.016236031485278
2010-06-11,5078.75,5139.0498046875,5078.75,5119.35009765625,5119.35009765625,0,5010.197509765625,5052.549061514632,5149.258017578125,5093.536757882279,5089.530512695313,5119.577759948839,,5135.827621543161,,5148.578505179541,58.95995222941852,-13.712606371536822
2010-06-14,5120.14990234375,5201.25,5120.14990234375,5197.7001953125,5197.7001953125,0,5017.087524414063,5066.37297901919,5147.402021484375,5097.621598565816,5088.9855126953125,5121.124738866932,,5136.647125831497,,5149.06727821569,71.24846607531836,-0.8004943591513438
2010-06-15,5201.2998046875,5231.4501953125,5171.0498046875,5222.35009765625,5222.35009765625,0,5024.89501953125,5081.22794269891,5144.481025390625,5102.512912255638,5088.460512695313,5123.129201417215,,5137.782264531163,,5149.79646049868,68.28349907021843,11.291329135058731
2010-06-16,5225.0498046875,5255.64990234375,5214.89990234375,5233.35009765625,5233.35009765625,0,5040.580029296875,5095.715766980561,5141.82802734375,5107.643782271349,5088.5375146484375,5125.311793421948,,5139.048063645402,,5150.627839972884,65.16300929552357,21.51379678282956
2010-06-17,5233.64990234375,5285.5498046875,5206.5498046875,5274.85009765625,5274.85009765625,0,5056.942529296875,5112.776179425864,5139.83203125,5114.2008926786,5089.069013671875,5128.272947961242,,5140.846766082632,,5151.863882337893,64.1258976058766,32.588222469455104
2010-06-18,5274.9501953125,5302.2998046875,5245.5,5262.60009765625,5262.60009765625,0,5073.5150390625,5127.045124019234,5138.995029296875,5120.020469344391,5090.753515625,5130.932891519558,,5142.459392990892,,5152.965735226633,62.07868307118356,39.91618307898261
