Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,EMA_12,EMA_26,MACD,Signal_Line
2022-12-21,18199.099609375,18473.349609375,18162.75,18435.150390625,187600,18545.4525390625,18432.562523155844,18434.54916123014,18397.196510222595,37.35265100754623,107.04752211337605
2022-12-22,18127.349609375,18318.75,18068.599609375,18288.80078125,195700,18527.6150390625,18403.494626605287,18387.287691713966,18377.20785090055,10.079840813414194,87.65398585338369
2022-12-23,17806.80078125,18050.44921875,17779.5,17977.650390625,221500,18492.317578125,18346.666641333355,18297.98201318105,18334.95547537088,-36.97346218983148,62.728496244740654
2022-12-26,18014.599609375,18084.099609375,17774.25,17830.400390625,176700,18464.91005859375,18315.041209718274,18254.38472028781,18311.225411223037,-56.84069093522703,38.814658808747126
2022-12-27,18132.30078125,18149.25,17967.44921875,18089.80078125,214300,18440.62255859375,18297.637359387965,18235.602575820452,18297.97173492874,-62.36915910828611,18.577895225340477
2022-12-28,18122.5,18173.099609375,18068.349609375,18084.75,193900,18408.830078125,18280.957610874826,18218.20217954038,18284.97382863772,-66.77164909733983,1.5079863608044146
2022-12-29,18191.0,18229.69921875,17992.80078125,18045.69921875,281100,18377.755078125,18272.39021936294,18214.01722884186,18278.012804294187,-63.99557545232528,-11.592726001821527
2022-12-30,18105.30078125,18265.25,18080.30078125,18259.099609375,192000,18348.21513671875,18256.47693954266,18197.29162152004,18265.21932110573,-67.92769958569261,-22.859720718595746
2023-01-02,18197.44921875,18215.150390625,18086.5,18131.69921875,256100,18323.03505859375,18250.85525184812,18197.315867247726,18260.199313523826,-62.883446276100585,-30.864465830096716
2023-01-03,18232.55078125,18251.94921875,18149.80078125,18163.19921875,208700,18302.52509765625,18249.111968934012,18202.736623248078,18258.151274096133,-55.41465084805532,-35.77450283368844
2023-01-04,18042.94921875,18243.0,18020.599609375,18230.650390625,235200,18276.64755859375,18229.477421297437,18178.15394563299,18242.210381107532,-64.05643547454383,-41.43088936185951
2023-01-05,17992.150390625,18120.30078125,17892.599609375,18101.94921875,269900,18245.78759765625,18206.87484694768,18149.538014093298,18223.687418849568,-74.14940475627009,-47.97459244074163
2023-01-06,17859.44921875,18047.400390625,17795.55078125,18008.05078125,238200,18213.930078125,18173.786691881236,18104.908968655865,18196.706811434782,-91.79784277891667,-56.73924250837665
2023-01-09,18101.19921875,18141.400390625,17936.150390625,17952.55078125,257200,18194.13251953125,18166.87359920207,18104.338237901116,18189.632174939612,-85.29393703849564,-62.45018141440045
2023-01-10,17914.150390625,18127.599609375,17856.0,18121.30078125,283300,18159.4400390625,18142.80472219473,18075.078569089408,18169.226116842234,-94.14754775282563,-68.78965468208548
2023-01-11,17895.69921875,17976.349609375,17824.349609375,17924.25,259900,18121.2099609375,18119.270864723803,18047.481745960267,18148.964865131697,-101.48311917142928,-75.32834757995424
2023-01-12,17858.19921875,17945.80078125,17761.650390625,17920.849609375,227800,18093.37490234375,18094.406898440586,18018.361357158687,18127.426669103425,-109.06531194473791,-82.07574045291098
2023-01-13,17956.599609375,17999.349609375,17774.25,17867.5,256700,18077.7548828125,18081.282394720052,18008.859549807352,18114.772812827243,-105.91326301989102,-86.843244966307
2023-01-16,17894.849609375,18049.650390625,17853.650390625,18033.150390625,206200,18051.47490234375,18063.526891353857,17991.319558971605,18098.482205164113,-107.16264619250796,-90.9071252115472
2023-01-17,18053.30078125,18072.05078125,17886.94921875,17922.80078125,219100,18034.87490234375,18062.55297610587,18000.855131629818,18095.135433022326,-94.28030139250768,-91.5817604477393
2023-01-18,18165.349609375,18183.75,18032.44921875,18074.30078125,255800,18033.18740234375,18072.34313165531,18026.161974359846,18100.336483122523,-74.17450876267685,-88.10031011072681
2023-01-19,18107.849609375,18155.19921875,18063.75,18119.80078125,237800,18032.21240234375,18075.72470096195,18038.729302823715,18100.893010993077,-62.16370816936251,-82.91298972245394
2023-01-20,18027.650390625,18145.44921875,18016.19921875,18115.599609375,237200,18043.2548828125,18071.146195215573,18037.02485479314,18095.467631706553,-58.44277691341267,-78.0189471606457
2023-01-23,18118.55078125,18162.599609375,18063.44921875,18118.44921875,202500,18048.45244140625,18075.660917695044,18049.567305017274,18097.1774946357,-47.610189618426375,-71.93719565220184
2023-01-24,18118.30078125,18201.25,18078.650390625,18183.94921875,216900,18047.75244140625,18079.72185708123,18060.141685976156,18098.742182533057,-38.60049655690091,-65.26985583314166
2023-01-25,17891.94921875,18100.599609375,17846.150390625,18093.349609375,257200,18036.22490234375,18061.83874866873,18034.26592178752,18083.424185215794,-49.15826342827495,-62.04753735216832
2023-01-27,17604.349609375,17884.75,17493.55078125,17877.19921875,476300,18006.8923828125,18018.26835445028,17968.124950647132,18047.937179597957,-79.81222895082465,-65.60047567189959
2023-01-30,17648.94921875,17709.150390625,17405.55078125,17541.94921875,432400,17984.0748046875,17983.095103431206,17919.020991893725,18018.382515831443,-99.36152393771772,-72.35268532506322
2023-01-31,17662.150390625,17735.69921875,17537.55078125,17731.44921875,398300,17957.30986328125,17952.528940306805,17879.50243785238,17991.994951001336,-112.49251314895446,-80.38065088984146
2023-02-01,17616.30078125,17972.19921875,17353.400390625,17811.599609375,512900,17926.49736328125,17920.507210872824,17839.00987529817,17964.165753241978,-125.15587794380917,-89.33569630063501
2023-02-02,17610.400390625,17653.900390625,17445.94921875,17517.099609375,490100,17904.869921875,17890.97322799208,17803.83918534845,17937.960911566646,-134.12172621819627,-98.29290228414726
2023-02-03,17854.05078125,17870.30078125,17584.19921875,17721.75,424100,17897.96494140625,17887.456804492835,17811.564046256382,17931.745346358006,-120.18130010162349,-102.67058184764252
2023-02-06,17764.599609375,17823.69921875,17698.349609375,17818.55078125,282500,17893.2224609375,17875.756119243517,17804.338748274633,17919.36418065556,-115.02543238092767,-105.14155195429956
2023-02-07,17721.5,17811.150390625,17652.55078125,17790.099609375,354400,17874.2375,17861.065060267945,17791.594325463153,17904.707574681077,-113.11324921792402,-106.73589140702447
2023-02-08,17871.69921875,17898.69921875,17744.150390625,17750.30078125,291000,17872.11494140625,17862.077837266235,17803.918155199593,17902.262511278775,-98.34435607918203,-105.05758434145598
2023-02-09,17893.44921875,17916.900390625,17779.80078125,17885.5,260900,17872.00244140625,17865.065587883735,17817.69216497658,17901.60967479516,-83.91750981858058,-100.8295694368809
2023-02-10,17856.5,17876.94921875,17801.0,17847.55078125,232000,17871.91748046875,17864.249817609092,17823.66260113403,17898.268217402925,-74.60561626889466,-95.58477880328365
2023-02-13,17770.900390625,17880.69921875,17719.75,17859.099609375,231300,17862.63251953125,17855.35939599156,17815.545337978794,17888.833563567525,-73.28822558873071,-91.12546816037307
2023-02-14,17929.849609375,17954.55078125,17800.05078125,17840.349609375,244500,17864.38251953125,17862.453702028077,17833.130610501288,17891.871789182893,-58.74117868160465,-84.64861026461939
2023-02-15,18015.849609375,18034.099609375,17853.80078125,17896.599609375,229300,17862.5099609375,17877.06283606112,17861.241225712627,17901.055331419346,-39.81410570671869,-75.68170935303925
2023-02-16,18035.849609375,18134.75,18000.650390625,18094.75,230200,17856.0349609375,17892.185385900535,17888.104053968375,17911.040092749394,-22.936038781019306,-65.13257523863527
2023-02-17,17944.19921875,18034.25,17884.599609375,17974.849609375,208100,17847.85244140625,17897.13908426715,17896.734079319394,17913.496324304993,-16.762244985598954,-55.45850918802801
2023-02-20,17844.599609375,18004.349609375,17818.400390625,17965.55078125,174600,17838.69990234375,17892.13532475361,17888.71339163564,17908.392863939807,-19.679472304167575,-48.30270181125593
